,link,name,price,rating,total_sold,store_name,store_location
164,https://www.tokopedia.com/amrumhirul/bisa-cod-handphone-v29-hp-baru-original-2023-android-hp-murah?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,【Bisa COD】 Handphone V29 HP Baru Original 2023 android  hp murah,Rp1.371.800,No name available,No name available,amrumhirul shop,Surabaya
165,https://www.tokopedia.com/archive-ericksu/hp-android-murah-sharp-sh04f-2-16gb?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Hp Android Murah Sharp Sh04F 2/16GB,Rp1.500.000,5.0,1 terjual,Ericksu,Medan
166,https://www.tokopedia.com/jaswadi78/vivo-v15-cheap-hp-hp-vivo-lift-camera-smartphone-8gb-ram-256gb-6-53?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,Vivo V15/cheap Hp/HP Vivo/lift Camera/smartphone/8GB RAM + 256GB 6.53,Rp1.681.000,No name available,No name available,jaswadi78,Surabaya
167,https://www.tokopedia.com/cvdaliamarket/new-hp-xlaoml-redml-12-8-256-gb-new-fullset-smartphone-murah?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,[✅New] Hp Xlaoml Redml 12 8/256 Gb New Fullset Smartphone Murah,Rp2.525.670,No name available,No name available,CV Dalia Market ID,Jakarta Pusat
168,https://www.tokopedia.com/armaphoen/new-stock-infinix-hot-30-nfc-8-128gb-hp-second-seken-bekas-fullset-murah-1730801602375747398?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,new stock !!! Infinix Hot 30 NFC 8/128GB Hp Second Seken Bekas Fullset murah,Rp1.807.680,No name available,No name available,arma phoen,Tangerang
169,https://www.tokopedia.com/bagusstoreidn/hp-jadul-murah-nokia-2660-flip-phone-2g-dual-sim-garansi-hp-jadul-lipat-1730859366321849360?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,HP Jadul Murah nokia 2660 FLIP Phone 2G DUAL SIM GARANSI HP JADUL LIPAT,Rp1.279.000,No name available,No name available,Bagus Store IDN,Jakarta Pusat
170,https://www.tokopedia.com/dariyalamina/flash-sale-hp-note-12-pro-hp-murah-cuci-gudang-ram-12gb512gb-diskon?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D202503010158437659E76192BAE0069WUB%26src%3Dsearch,【FLASH SALE】HP NOTE 12 Pro HP Murah Cuci Gudang RAM 12GB512GB Diskon,Rp1.523.300,No name available,No name available,dariyalamina shop,Surabaya
171,https://www.tokopedia.com/wahanaacesories/hp-oppo-a57-ram-3gb-rom-32gb-garansi-oppo-gold-black-emas?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,HP OPPO A57 RAM 3GB ROM 32GB GARANSI OPPO - GOLD & BLACK,Rp2.249.000,No name available,7 terjual,WAHANA ACCESSORIES,Jakarta Timur
172,https://www.tokopedia.com/cuan-gadgetid/vivo-v40-lite-4g-8-256-vivo-v-40-lite-4g-nfc-8-128-garansi-resmi-indonesia-8-128-silver-bonus-30-item-8f6fc?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,VIVO V40 LITE 4G 8/256 VIVO V 40 LITE 4G NFC 8/128 GARANSI RESMI INDONESIA,Rp3.299.000,No name available,4 terjual,Cuan Gadget.id,Bekasi
173,https://www.tokopedia.com/wahanaacesories/hp-oppo-f7-ram-4gb-rom-64gb-garansi-oppo-red-black-silver-merah?extParam=ivf%3Dfalse%26keyword%3Dhp+murah&src=topads,"HP OPPO F7 RAM 4GB ROM 64GB GARANSI OPPO - RED, BLACK & SILVER",Rp3.094.000,No name available,15 terjual,WAHANA ACCESSORIES,Jakarta Timur
